variable_name,description,category
pes21_populism_4,"Traditional family values, bilingualism/equal rights overreach, desired ties with US/China, importance of being Canadian/ethnicity/language to identity, perceived criteria for being ""truly Canadian,"" and various measures of populist attitudes.",Attitudes & Identity
pes21_populism_5,"Traditional family values, bilingualism/equal rights overreach, desired ties with US/China, importance of being Canadian/ethnicity/language to identity, perceived criteria for being ""truly Canadian,"" and various measures of populist attitudes.",Attitudes & Identity
pes21_populism_6,"Traditional family values, bilingualism/equal rights overreach, desired ties with US/China, importance of being Canadian/ethnicity/language to identity, perceived criteria for being ""truly Canadian,"" and various measures of populist attitudes.",Attitudes & Identity
pes21_populism_7,"Traditional family values, bilingualism/equal rights overreach, desired ties with US/China, importance of being Canadian/ethnicity/language to identity, perceived criteria for being ""truly Canadian,"" and various measures of populist attitudes.",Attitudes & Identity
pes21_populism_8,"Traditional family values, bilingualism/equal rights overreach, desired ties with US/China, importance of being Canadian/ethnicity/language to identity, perceived criteria for being ""truly Canadian,"" and various measures of populist attitudes.",Attitudes & Identity
pes21_paymed,"Support for paying for faster medical care, abolishing the Senate, banning hate speech, perception of government program effectiveness, confidence ratings in 10 political and social institutions, and confidence in safety from foreign interference in elections.",Specific Issues & Confidence
pes21_senate,"Support for paying for faster medical care, abolishing the Senate, banning hate speech, perception of government program effectiveness, confidence ratings in 10 political and social institutions, and confidence in safety from foreign interference in elections.",Specific Issues & Confidence
pes21_hatespeech,"Support for paying for faster medical care, abolishing the Senate, banning hate speech, perception of government program effectiveness, confidence ratings in 10 political and social institutions, and confidence in safety from foreign interference in elections.",Specific Issues & Confidence
pes21_govtprograms,"Support for paying for faster medical care, abolishing the Senate, banning hate speech, perception of government program effectiveness, confidence ratings in 10 political and social institutions, and confidence in safety from foreign interference in elections.",Specific Issues & Confidence
pes21_conf_inst1_1 to pes21_conf_inst2_6,"Support for paying for faster medical care, abolishing the Senate, banning hate speech, perception of government program effectiveness, confidence ratings in 10 political and social institutions, and confidence in safety from foreign interference in elections.",Specific Issues & Confidence
pes21_foreign,"Support for paying for faster medical care, abolishing the Senate, banning hate speech, perception of government program effectiveness, confidence ratings in 10 political and social institutions, and confidence in safety from foreign interference in elections.",Specific Issues & Confidence
pes21_donerm,"Opinions on how much should be done for various groups (racial minorities, women, gays/lesbians, Quebec); belief that income inequality is a big problem; and support for reducing the gap between rich and poor.",Inequality
pes21_donew,"Opinions on how much should be done for various groups (racial minorities, women, gays/lesbians, Quebec); belief that income inequality is a big problem; and support for reducing the gap between rich and poor.",Inequality
pes21_donegl,"Opinions on how much should be done for various groups (racial minorities, women, gays/lesbians, Quebec); belief that income inequality is a big problem; and support for reducing the gap between rich and poor.",Inequality
pes21_doneqc,"Opinions on how much should be done for various groups (racial minorities, women, gays/lesbians, Quebec); belief that income inequality is a big problem; and support for reducing the gap between rich and poor.",Inequality
pes21_inequal,"Opinions on how much should be done for various groups (racial minorities, women, gays/lesbians, Quebec); belief that income inequality is a big problem; and support for reducing the gap between rich and poor.",Inequality
pes21_gap,"Opinions on how much should be done for various groups (racial minorities, women, gays/lesbians, Quebec); belief that income inequality is a big problem; and support for reducing the gap between rich and poor.",Inequality
pes21_feminine_1,"Self-identification as feminine/masculine (0-100 sliders); Big Five personality trait descriptions (1-7 scale); and self-assessment of general, physical, and mental health.",Femininity/Personality/Health
pes21_masculine_1,"Self-identification as feminine/masculine (0-100 sliders); Big Five personality trait descriptions (1-7 scale); and self-assessment of general, physical, and mental health.",Femininity/Personality/Health
pes21_big5_1,"Self-identification as feminine/masculine (0-100 sliders); Big Five personality trait descriptions (1-7 scale); and self-assessment of general, physical, and mental health.",Femininity/Personality/Health
pes21_big5_2,"Self-identification as feminine/masculine (0-100 sliders); Big Five personality trait descriptions (1-7 scale); and self-assessment of general, physical, and mental health.",Femininity/Personality/Health
pes21_big5_3,"Self-identification as feminine/masculine (0-100 sliders); Big Five personality trait descriptions (1-7 scale); and self-assessment of general, physical, and mental health.",Femininity/Personality/Health
pes21_big5_4,"Self-identification as feminine/masculine (0-100 sliders); Big Five personality trait descriptions (1-7 scale); and self-assessment of general, physical, and mental health.",Femininity/Personality/Health
pes21_big5_5,"Self-identification as feminine/masculine (0-100 sliders); Big Five personality trait descriptions (1-7 scale); and self-assessment of general, physical, and mental health.",Femininity/Personality/Health
pes21_big5_6,"Self-identification as feminine/masculine (0-100 sliders); Big Five personality trait descriptions (1-7 scale); and self-assessment of general, physical, and mental health.",Femininity/Personality/Health
pes21_big5_7,"Self-identification as feminine/masculine (0-100 sliders); Big Five personality trait descriptions (1-7 scale); and self-assessment of general, physical, and mental health.",Femininity/Personality/Health
pes21_big5_8,"Self-identification as feminine/masculine (0-100 sliders); Big Five personality trait descriptions (1-7 scale); and self-assessment of general, physical, and mental health.",Femininity/Personality/Health
pes21_big5_9,"Self-identification as feminine/masculine (0-100 sliders); Big Five personality trait descriptions (1-7 scale); and self-assessment of general, physical, and mental health.",Femininity/Personality/Health
pes21_big5_10,"Self-identification as feminine/masculine (0-100 sliders); Big Five personality trait descriptions (1-7 scale); and self-assessment of general, physical, and mental health.",Femininity/Personality/Health
pes21_health,"Self-identification as feminine/masculine (0-100 sliders); Big Five personality trait descriptions (1-7 scale); and self-assessment of general, physical, and mental health.",Femininity/Personality/Health
pes21_phealth,"Self-identification as feminine/masculine (0-100 sliders); Big Five personality trait descriptions (1-7 scale); and self-assessment of general, physical, and mental health.",Femininity/Personality/Health
pes21_mhealth,"Self-identification as feminine/masculine (0-100 sliders); Big Five personality trait descriptions (1-7 scale); and self-assessment of general, physical, and mental health.",Femininity/Personality/Health
pes21_service_freq,"Frequency of religious services, parents' birth outside Canada, type of residence (rural/urban), years lived in community, closeness of following politics, language usually spoken at home, and occupation information.",Additional Demographics
pes21_parents_born,"Frequency of religious services, parents' birth outside Canada, type of residence (rural/urban), years lived in community, closeness of following politics, language usually spoken at home, and occupation information.",Additional Demographics
pes21_rural_urban,"Frequency of religious services, parents' birth outside Canada, type of residence (rural/urban), years lived in community, closeness of following politics, language usually spoken at home, and occupation information.",Additional Demographics
pes21_lived,"Frequency of religious services, parents' birth outside Canada, type of residence (rural/urban), years lived in community, closeness of following politics, language usually spoken at home, and occupation information.",Additional Demographics
pes21_follow_pol,"Frequency of religious services, parents' birth outside Canada, type of residence (rural/urban), years lived in community, closeness of following politics, language usually spoken at home, and occupation information.",Additional Demographics
pes21_lang,"Frequency of religious services, parents' birth outside Canada, type of residence (rural/urban), years lived in community, closeness of following politics, language usually spoken at home, and occupation information.",Additional Demographics
pes21_occ_text,"Frequency of religious services, parents' birth outside Canada, type of residence (rural/urban), years lived in community, closeness of following politics, language usually spoken at home, and occupation information.",Additional Demographics
pes21_occ_cat,"Frequency of religious services, parents' birth outside Canada, type of residence (rural/urban), years lived in community, closeness of following politics, language usually spoken at home, and occupation information.",Additional Demographics
